key,value
run_number,2026年09月07日_19时54分39秒_第022次
timestamp_local_iso8601,2026-09-07T19:54:39
model_name,three_axle_vehicle_2dof_3dof_Trucksim_python
schema_version,3
case_name,sine_steer_python-1
source_case_id,MV-202
trucksim_scenario,straight_road
description,15 km/h 正弦转向，第一轴幅值 2 度、频率 0.2 Hz、1 s 后开始，Python 控制器分配二/三轴转角
stop_time_s,30
initial_speed_kmh,15
target_speed_kmh,15
steer_input_type,sine
steer_amplitude_deg,2
steer_frequency_hz,0.2
steer_start_time_s,1
road_friction,0.85
road_grade,0.0
controller_mode,zero_sideslip
control_dt_s,0.01
kp_beta,0.6
ki_beta,0.5
max_steer_deg,20
